Name,Course,Department,Age,City,Hobby,Allowance,Salary of Parents
Mr. Aaron Burch,Business Administration,Health,25,New York,Sports,2160.0,131444.8
Jennifer Cooper,Philosophy,Arts,22,Los Angeles,Traveling,2249.111111111112,126804.6
Sara Nunez,Mathematics,Health,18,San Francisco,Traveling,2427.333333333333,117524.2
Allison Ferrell,Mathematics,Arts,22,Chicago,Music,2516.4444444444443,112884.0
Warren Miller,Architecture,Engineering,25,Chicago,Reading,2783.777777777778,53976.0
Jose Harrington,Philosophy,Arts,20,Boston,Gaming,2962.0,74459.0
Christina Becker,Business Administration,Health,22,New York,Cooking,4747.0,66727.0
Brandy Mcmahon,Mathematics,Engineering,21,Los Angeles,Gaming,1268.0,58995.0
Chase Cooper,Nursing,Arts,23,San Francisco,Gaming,1862.6666666666667,37390.5
Steven Cole,Mathematics,Science,23,New York,Music,1724.3333333333333,31250.0
Michael Jordan,Philosophy,Health,18,Houston,Sports,1586.0,60871.0
Jennifer Schmidt,Law,Business,21,Houston,Cooking,3065.0,90492.0
Omar Yu,Nursing,Science,18,Remote,Traveling,2592.0,120113.0
Timothy Fields,Law,Engineering,18,Boston,Reading,4553.0,149734.0
Darrell Merritt,Electrical Engineering,Arts,25,Boston,Traveling,2024.0,79638.0
Jennifer Oliver,Psychology,Law,19,San Francisco,Sports,3966.0,68521.0
Micheal Bishop,Computer Science,Law,24,Chicago,Reading,1203.0,93813.0
Jordan Lopez,Philosophy,Science,21,Chicago,Sports,2860.5,119105.0
Christopher Fox,Business Administration,Law,24,San Francisco,Reading,2734.0,119558.0
Christopher Robertson,Biology,Business,23,New York,Traveling,3573.4,98335.0
Julie Robinson MD,Chemistry,Engineering,21,Remote,Sports,3853.2,126022.0
Joanna Best,Physics,Engineering,18,Houston,Cooking,4133.0,119059.0
Gregory Hawkins,Computer Science,Arts,21,Chicago,Gaming,2617.0,102972.0
Aaron Gould,Electrical Engineering,Business,25,Chicago,Gaming,2627.0,54711.0
Derrick Kennedy,Physics,Business,19,Los Angeles,Sports,3539.0,42077.0
Christopher English,Nursing,Engineering,19,San Francisco,Sports,3579.0,78128.0
Debbie Miller,Philosophy,Business,21,Houston,Traveling,3619.0,78750.5
Misty Pearson,Mathematics,Science,19,Chicago,Cooking,2260.0,79373.0
Erin Jarvis,Biology,Business,24,San Francisco,Gaming,2094.5,79995.5
Breanna Perez,Computer Science,Business,19,Houston,Traveling,4072.0,83473.0
Kyle Burns,Nursing,Science,19,New York,Music,2582.0,113942.0
Brittany Fernandez,Computer Science,Health,24,Los Angeles,Sports,2902.5,76891.5
Joshua Williams,Physics,Science,23,Remote,Music,3223.0,39841.0
Rachel Tucker,Nursing,Arts,19,Boston,Cooking,2978.0,63169.0
April Craig,Architecture,Health,21,Boston,Cooking,2733.0,86497.0
Anthony Baker,Information Technology,Health,20,Remote,Gaming,2623.0,109825.0
Latoya Peters,Computer Science,Business,20,New York,Cooking,2513.0,133153.0
Elizabeth Collins,Mechanical Engineering,Engineering,24,Houston,Gaming,2816.0,119313.57142857143
Kevin Whitehead,Business Administration,Arts,18,Boston,Gaming,3617.0,91634.71428571428
Eric Williamson,Mechanical Engineering,Arts,23,San Francisco,Cooking,1736.0,77795.28571428571
Stephanie Barr,Architecture,Health,23,Los Angeles,Reading,2870.0,63955.857142857145
Kim Robinson,Mechanical Engineering,Science,21,Boston,Traveling,2922.0,80615.0
Tammy Rodriguez,Biology,Health,22,San Francisco,Cooking,2637.0,124953.0
Jennifer Edwards,Information Technology,Law,19,Remote,Reading,2532.5,88432.5
Douglas Myers,Physics,Science,20,New York,Gaming,3269.0,114437.0
Christy Wright,Chemistry,Engineering,19,New York,Cooking,1340.0,53080.0
Scott Castro,Psychology,Arts,20,Los Angeles,Reading,1540.0,57472.25
Shane Park,Psychology,Engineering,23,New York,Reading,2997.5,66256.75
Yvonne Dillon,Business Administration,Law,20,Chicago,Cooking,1335.0,70649.0
Joseph Thomas,Mechanical Engineering,Law,18,Chicago,Traveling,2014.5,117465.0
Lawrence Vasquez,Biology,Engineering,21,Remote,Traveling,3112.0,106746.0
Annette Thomas,Chemistry,Arts,22,Boston,Music,3968.0,60629.0
Melinda Velasquez,Electrical Engineering,Arts,22,Los Angeles,Traveling,3534.5,57258.0
David Young,Chemistry,Science,25,New York,Traveling,3493.0,99132.4
Timothy Anderson,Psychology,Engineering,19,Remote,Cooking,1106.0,114056.0
Stephanie Arnold,Business Administration,Science,25,Chicago,Music,2168.0,123614.0
Amy Schroeder,Psychology,Law,22,Houston,Music,3230.0,35702.0
Thomas Simpson,Chemistry,Arts,23,Chicago,Music,1072.0,108202.66666666669
Megan Mcgee,Nursing,Business,24,San Francisco,Reading,2536.0,133530.0
Megan Ray,Law,Health,18,Chicago,Cooking,3268.0,122607.0
Curtis Mason,Law,Science,25,Remote,Reading,2590.0,121347.33333333331
Carolyn Chung,Architecture,Health,23,San Francisco,Gaming,3037.0,118013.0
Dawn Payne,Biology,Arts,18,Los Angeles,Reading,2282.0,130411.0
Brandy Bond,Nursing,Law,18,San Francisco,Cooking,1653.0,140272.14285714287
Justin Hicks,Philosophy,Science,22,Los Angeles,Sports,1755.5,136105.2857142857
Anna Rice,Psychology,Law,24,Houston,Sports,1858.0,131938.42857142858
Brian Rich,Information Technology,Engineering,21,Boston,Sports,2453.0,127771.57142857142
Scott Downs,Physics,Health,19,New York,Reading,3048.0,123604.71428571428
Wendy Martin,Mechanical Engineering,Arts,25,Houston,Reading,3643.0,119437.85714285714
Mariah Sanchez,Mechanical Engineering,Health,21,Houston,Traveling,3264.0,86164.0
Christopher Wright,Information Technology,Arts,18,Remote,Gaming,3137.6666666666665,121763.0
Ashley Patel,Biology,Science,23,Los Angeles,Traveling,2885.0,107037.66666666669
Robert Holloway,Computer Science,Arts,22,New York,Reading,2714.0,99675.0
Evelyn Velasquez DDS,Law,Engineering,23,Houston,Reading,2543.0,92312.33333333331
Michael Park,Philosophy,Business,18,San Francisco,Traveling,2816.0,84949.66666666666
Jacob Mora MD,Law,Health,23,San Francisco,Cooking,3089.0,77587.0
Michael Elliott,Biology,Engineering,19,Los Angeles,Music,4342.0,130773.0
Henry Nelson,Biology,Engineering,21,Boston,Sports,3208.0,56536.0
Jason Hughes,Law,Business,20,Chicago,Gaming,2830.0,51884.0
Ronnie Clark,Architecture,Arts,22,New York,Reading,3033.0,74596.0
Mark Baldwin,Biology,Health,21,Boston,Reading,4172.0,97308.0
Timothy Rivera,Psychology,Business,25,Los Angeles,Music,3871.0,120020.0
Michelle Clayton,Business Administration,Arts,20,Houston,Cooking,1363.0,67414.0
Jennifer Johnson,Mechanical Engineering,Law,20,Remote,Traveling,2125.8,73769.0
Ashlee Perez,Mechanical Engineering,Law,24,Remote,Sports,2507.2,98561.0
Matthew Baker,Architecture,Law,21,Chicago,Gaming,2888.6,123353.0
Michelle Wright,Information Technology,Engineering,23,New York,Music,2897.0,40619.0
Katie Williams,Biology,Business,23,Boston,Sports,2212.0,148881.0
Kelly Horn,Psychology,Arts,23,San Francisco,Gaming,4927.0,91599.0
James Williams,Nursing,Business,25,Los Angeles,Gaming,2652.0,105887.0
John Johnson,Chemistry,Arts,18,Remote,Music,3648.5,120175.0
Daniel Moore,Chemistry,Science,18,Remote,Traveling,4645.0,134463.0
Julia Weeks,Biology,Science,25,San Francisco,Music,3857.0,148751.0
Stephanie Richmond,Electrical Engineering,Law,25,New York,Gaming,2894.0,117078.0
Chad Johnson MD,Architecture,Engineering,23,Remote,Gaming,3969.0,76519.42857142858
Mary Nicholson,Chemistry,Arts,19,New York,Music,4514.0,131149.0
Brenda Hansen,Chemistry,Engineering,22,Los Angeles,Music,3756.6666666666665,106142.0
Charles Olsen,Psychology,Health,20,Boston,Sports,2999.333333333333,81135.0
Shannon Cross,Electrical Engineering,Arts,22,Boston,Sports,2292.75,99585.0
Holly Smith,Business Administration,Engineering,23,New York,Music,2343.5,63587.0
Amy Campos,Business Administration,Health,21,Boston,Reading,4373.0,54988.0
Sarah Yates,Mathematics,Business,25,San Francisco,Reading,2833.0,84470.0
Eric Short,Information Technology,Health,24,Houston,Sports,2272.333333333333,95640.0
Richard Vargas,Mechanical Engineering,Engineering,21,San Francisco,Sports,3151.0,41348.0
Kimberly Torres MD,Electrical Engineering,Law,25,Houston,Cooking,3590.333333333333,84147.0
Michael Scott,Psychology,Engineering,22,Houston,Traveling,4029.6666666666665,126946.0
Julia Lewis,Law,Arts,20,San Francisco,Reading,4469.0,75137.0
Andrea Villanueva,Law,Law,25,San Francisco,Cooking,2428.0,88746.0
Gary Ferguson V,Psychology,Arts,24,Houston,Reading,1634.0,72138.0
Maurice Jenkins,Information Technology,Law,24,Los Angeles,Traveling,1565.0,55530.0
Jamie Sanchez,Psychology,Arts,21,Chicago,Reading,1496.0,38922.0
Scott Stein,Computer Science,Engineering,23,New York,Sports,1879.0,102160.5
Ana Baird,Physics,Science,24,New York,Traveling,1930.0,77937.0
Jennifer Johnson,Computer Science,Engineering,20,Chicago,Gaming,3446.5,74451.25
Luis Cruz,Law,Health,19,New York,Sports,4963.0,70965.5
Amy Leonard,Philosophy,Business,21,Los Angeles,Cooking,4503.0,63994.0
Laura Brown,Nursing,Science,24,Remote,Music,3538.0,60508.25
Tyrone Gordon,Electrical Engineering,Arts,25,New York,Gaming,2573.0,57022.5
Gabriel Simmons,Law,Health,18,New York,Gaming,3163.5,97133.66666666666
Jeff Vazquez,Philosophy,Law,19,Remote,Reading,1876.0,108315.0
Mrs. Alejandra Cameron,Nursing,Law,21,San Francisco,Gaming,3669.0,95955.0
Matthew Pacheco,Architecture,Law,19,Los Angeles,Sports,4969.0,64816.0
Elizabeth Jimenez,Information Technology,Science,24,Boston,Sports,4605.5,75615.0
Tom Bryant,Architecture,Arts,19,New York,Reading,4423.75,87601.33333333333
Alexandria Davis MD,Physics,Business,21,Chicago,Traveling,3036.0,111574.0
Wesley Jackson,Architecture,Science,23,Houston,Reading,1830.0,95978.75
Chad Edwards,Mathematics,Science,18,San Francisco,Sports,4463.0,80383.5
Brian Krueger,Computer Science,Science,21,Los Angeles,Traveling,2572.0,64788.25
Matthew Kerr,Mechanical Engineering,Science,25,Houston,Music,4758.0,49193.0
James Duarte,Law,Arts,19,Chicago,Gaming,3333.0,30939.0
Kimberly Acosta,Mathematics,Arts,19,Remote,Reading,2088.0,41299.0
Kathy Hale,Biology,Business,21,Houston,Traveling,1848.25,78467.5
Nicholas Gomez,Biology,Arts,19,Chicago,Traveling,1608.5,115636.0
Patricia Logan,Law,Law,22,San Francisco,Reading,1129.0,105240.0
Crystal Villa,Physics,Law,23,Remote,Gaming,4209.0,94153.6
John Carroll,Information Technology,Law,22,San Francisco,Sports,1453.0,60894.4
Desiree Bruce,Psychology,Business,18,Los Angeles,Sports,1869.0,49808.0
Timothy Hall,Physics,Arts,20,Los Angeles,Music,2491.333333333333,87014.0
Jessica Fuller,Architecture,Business,25,Chicago,Traveling,3113.666666666667,124220.0
Victoria Blackburn,Business Administration,Health,24,Chicago,Cooking,3736.0,96042.0
Linda Cohen,Mechanical Engineering,Business,25,San Francisco,Music,2689.0,87548.0
Danny Shields,Information Technology,Law,19,San Francisco,Reading,3262.0,85902.0
Catherine Stewart,Chemistry,Business,19,Boston,Cooking,3835.0,91405.75
Wesley Le,Architecture,Business,19,Boston,Traveling,4626.25,99881.0
Tammy Chapman,Law,Business,23,San Francisco,Music,4508.0,145183.0
Laurie Crawford,Computer Science,Engineering,24,Remote,Traveling,3336.0,67536.0
Victoria Melton,Electrical Engineering,Business,21,Boston,Reading,2796.0,108144.0
Christian King,Business Administration,Arts,21,Los Angeles,Music,2256.0,148752.0
Shawn Khan,Business Administration,Arts,23,Chicago,Sports,4426.0,121607.0
Jason Johnson,Nursing,Arts,19,New York,Gaming,4171.0,118658.5
Zachary Macias,Chemistry,Arts,25,Houston,Sports,3712.0,115710.0
Kelli Romero,Biology,Health,23,Boston,Reading,2755.5,78027.0
Jessica Schwartz,Law,Engineering,24,San Francisco,Cooking,3288.0,59185.5
John Carter,Law,Law,18,Chicago,Music,3299.5,40344.0
William Kelly,Biology,Law,21,Boston,Traveling,4058.0,44421.0
Eric Jackson,Architecture,Health,24,Chicago,Traveling,4253.0,83864.5
Scott Wilson,Electrical Engineering,Arts,25,New York,Reading,4448.0,123308.0
Joshua Gonzalez,Mechanical Engineering,Law,24,New York,Music,1612.0,125493.0
Melissa Davidson DVM,Mechanical Engineering,Health,25,Los Angeles,Music,2139.333333333333,127678.0
Alison Thompson,Chemistry,Engineering,19,Boston,Music,2666.666666666667,129863.0
Jack Mason,Mathematics,Engineering,19,New York,Sports,3194.0,132048.0
Michelle Harris,Architecture,Law,24,Los Angeles,Music,4324.0,62031.0
Kyle Cummings,Physics,Business,18,Remote,Gaming,4061.0,78164.2
Dustin Bennett,Electrical Engineering,Health,22,Chicago,Traveling,1552.0,65241.0
Louis Green,Computer Science,Law,25,Boston,Sports,1216.0,93710.5
Paul Rodriguez,Law,Engineering,23,San Francisco,Cooking,2468.0,122180.0
Sheryl Munoz,Nursing,Arts,21,Chicago,Sports,3228.333333333333,116254.0
Miguel Allen,Chemistry,Law,21,Los Angeles,Reading,3250.0,122064.0
Kevin Owen,Chemistry,Science,19,San Francisco,Cooking,2194.0,69216.0
Curtis Villa,Mechanical Engineering,Engineering,23,Los Angeles,Cooking,1697.0,83241.66666666667
Michael Trujillo,Mechanical Engineering,Law,20,New York,Sports,1200.0,97267.33333333331
Monica Taylor,Chemistry,Arts,25,Houston,Sports,1853.0,111293.0
Gregory Mitchell,Philosophy,Law,18,Los Angeles,Sports,3379.2,111621.5
Nicholas Barton,Nursing,Arts,23,New York,Reading,4252.4,38172.0
Christopher Rodriguez,Mechanical Engineering,Health,21,Remote,Traveling,4102.333333333333,50182.0
Nathan Green,Nursing,Law,18,Los Angeles,Traveling,3515.666666666667,56187.0
Robert Davenport,Computer Science,Business,20,New York,Music,2929.0,100146.5
Raymond Boyd,Law,Health,20,Remote,Sports,3562.0,144106.0
Ms. Briana Jenkins MD,Computer Science,Law,23,San Francisco,Music,1519.0,116596.0
Brian Fischer,Physics,Health,20,Boston,Music,4655.0,113304.0
James Torres,Computer Science,Business,23,Remote,Reading,3297.0,103428.0
Troy Poole,Mechanical Engineering,Business,21,Remote,Music,3809.0,145310.0
William Garcia,Computer Science,Engineering,20,Boston,Gaming,1979.0,55242.0
Megan Carr,Chemistry,Law,22,Remote,Sports,2062.8,38280.0
Bobby Williams Jr.,Physics,Health,23,New York,Music,2230.4,40068.0
Michael Duffy,Mathematics,Business,20,Los Angeles,Gaming,2314.2,112991.0
Stephen Brooks,Information Technology,Health,21,Houston,Cooking,2398.0,120725.66666666669
Hannah Ramos,Mechanical Engineering,Law,22,Boston,Sports,4538.0,128460.33333333331
Ian Patton,Biology,Science,18,Chicago,Reading,3446.0,136195.0
Brianna Russell,Physics,Science,20,Boston,Traveling,2354.0,71939.0
Alex Johnson,Business Administration,Science,24,Boston,Gaming,3312.75,65348.545454545456
John Hudson MD,Chemistry,Business,20,Remote,Cooking,2584.0,54756.36363636363
Dwayne Hill,Philosophy,Engineering,25,Boston,Cooking,4167.0,51225.63636363637
Maria Conway,Electrical Engineering,Health,18,New York,Sports,1814.0,37102.72727272727
Meghan Knapp,Philosophy,Science,21,New York,Traveling,1430.0,33572.0
Kaitlin Hinton,Chemistry,Arts,25,Los Angeles,Traveling,2630.5,60153.0
John Aguirre,Law,Engineering,19,San Francisco,Reading,3831.0,86734.0
Dana Hicks,Psychology,Science,20,San Francisco,Reading,3153.0,112475.66666666669
Leslie Hayes,Law,Business,18,Boston,Reading,2681.6666666666665,113507.0
Jessica Howe,Nursing,Law,23,Boston,Cooking,3159.333333333333,108154.0
Catherine Shelton,Business Administration,Arts,19,Boston,Music,3233.0,97448.0
Brian Pruitt,Mechanical Engineering,Engineering,18,New York,Reading,1773.0,76036.0
James Zimmerman,Physics,Science,22,New York,Cooking,1525.0,130626.0
Brianna Harper,Business Administration,Engineering,22,Chicago,Reading,1957.4,104241.0
Natasha Fitzpatrick,Architecture,Science,25,Los Angeles,Sports,2389.8,113407.5
Daniel Sawyer,Electrical Engineering,Business,19,San Francisco,Gaming,3113.5,113816.5
Christopher Long,Biology,Business,23,New York,Traveling,3172.5,114430.0
Christina Wilson,Nursing,Health,21,San Francisco,Music,2283.5,75889.0
Megan Vang,Mathematics,Engineering,20,Houston,Traveling,1324.0,128219.0
Brittany Cain,Electrical Engineering,Health,24,New York,Sports,2505.0,112410.0
Christopher Mendoza,Electrical Engineering,Arts,18,Chicago,Cooking,1299.0,136132.0
Todd Estes,Physics,Science,25,Boston,Sports,1634.3333333333333,124102.0
Anthony Parker,Mathematics,Engineering,21,Remote,Cooking,1348.0,122734.5
Jenny Johnson,Business Administration,Science,21,Houston,Gaming,1638.0,116896.625
Antonio Hernandez,Chemistry,Law,23,Boston,Sports,3120.666666666667,105220.875
Martha Holland,Physics,Business,25,Boston,Sports,2807.5,111062.33333333331
Gregory Hays,Biology,Law,18,New York,Traveling,1753.0,122741.66666666669
Alexis Gray,Electrical Engineering,Business,24,Houston,Reading,4025.0,46611.0
Jessica Marks,Mechanical Engineering,Science,19,Los Angeles,Traveling,2696.0,41782.0
Barbara Simpson,Chemistry,Law,22,San Francisco,Traveling,1853.0,45471.0
Sean Martin,Chemistry,Law,25,Los Angeles,Gaming,1603.0,53989.0
Joanna Wilkinson,Computer Science,Arts,21,Chicago,Music,1353.0,34289.0
Dawn Leonard,Philosophy,Arts,19,Los Angeles,Music,4008.0,63217.33333333333
Sean Oliver,Law,Business,25,Remote,Traveling,3480.5,53912.0
Taylor Collier,Law,Law,18,Los Angeles,Gaming,2648.5,58278.5
Sheila Campbell,Mechanical Engineering,Law,20,San Francisco,Music,2518.0,100360.0
Brian Brown,Law,Science,21,Chicago,Sports,1151.0,116309.0
Katherine Warner,Psychology,Health,22,Houston,Music,3682.0,141290.6
Robin Weiss,Computer Science,Science,19,Houston,Gaming,3587.0,132693.2
Mr. Daniel Burke MD,Physics,Business,25,New York,Sports,4063.5,124095.8
Rebecca Shelton,Biology,Engineering,22,Remote,Cooking,4309.4,106901.0
Anna Martin,Psychology,Law,20,Remote,Gaming,4078.8,86000.0
Katie Wright,Mechanical Engineering,Law,23,New York,Gaming,3848.2,65099.0
