show_id,Type,Title,Director,Cast,Country,date_added,release_year,rating,duration,listed_in,Description,duration_numeric,,,,
s45,Movie,Jaws: The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",United States,16/09/2021,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers","After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean â€“ but a great white shark follows her there.",91,,,"4. Missing Data: A large number of rows contained missing data in multiple columns, which significantly reduced the size of the dataset after cleaning.",
s47,Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, RubÃ©n Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman",South Africa,16/09/2021,2012,R,115 min,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,115,,,,
s49,Movie,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",United States,16/09/2021,2001,R,122 min,"Dramas, Thrillers",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,122,,,Data Cleaning Techniques,
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",Japan,15/09/2021,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",99,,,1. Handling Missing Data: Rows with missing values across any column were removed to ensure that only complete records were retained for analysis.,
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",Japan,15/09/2021,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,99,,,2. Normalization: The following columns were normalized:,
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",Japan,15/09/2021,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies","Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",88,,,date_added: Converted to a standard datetime format.,
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",Japan,15/09/2021,2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies","A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",100,,,release_year: Converted from float to integer for consistency.,
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,15/09/2021,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",102,,,3. Outlier Detection and Handling: A specific outlier in the duration column was identified where a TV show was incorrectly labeled with a duration of 1 minute. This was corrected by setting the duration back to the appropriate '1 Season.',
s58,Movie,Naruto ShippÃ»den the Movie: Bonds,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada",Japan,15/09/2021,2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies","When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",93,,,,
s59,Movie,Naruto ShippÃ»den the Movie: The Will of Fire,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura",Japan,15/09/2021,2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies","When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",96,,,Challenges Encountered and Solutions,
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato",Japan,15/09/2021,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies","The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon â€“ but to do so, he must die.",95,,,"1.������� Missing Data: The original dataset had a substantial amount of missing data, reducing the size of the usable dataset significantly. These missing rows were dropped to ensure consistency and accuracy.",
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",Japan,15/09/2021,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",85,,,"2.������� Incorrect Data Parsing: Inconsistent parsing of the duration field led to incorrect extraction of values for TV shows (e.g., parsing ""1 Season"" as ""1 minute""). This was manually corrected in outlier cases.",
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",Japan,15/09/2021,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",97,,,"3.������� Outliers: Outliers in the duration and release_year columns were checked for validity, and any suspicious values were further reviewed and handled accordingly.",
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa",Japan,15/09/2021,2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies","Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",95,,,,
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa",Japan,15/09/2021,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies","Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",83,,,,
s74,Movie,King of Boys,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",Nigeria,14/09/2021,2018,TV-MA,182 min,"Dramas, International Movies","When a powerful businesswomanâ€™s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",182,,,,
s82,Movie,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",United States,10/09/2021,2021,R,106 min,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",106,,,,
s85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele","Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs",Nigeria,10/09/2021,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas","Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",147,,,,
s91,Movie,Paradise Hills,Alice Waddington,"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza GonzÃ¡lez, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath",Spain,09/09/2021,2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers","Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. Thatâ€™s bad enough, but its real purpose is even worse.",95,,,,
s95,Movie,Show Dogs,Raja Gosnell,"Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale",United Kingdom,08/09/2021,2018,PG,90 min,"Children & Family Movies, Comedies",A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,90,,,,
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",United States,07/09/2021,2018,TV-MA,97 min,"Documentaries, Music & Musicals","Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",97,,,,
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,"Antony Varghese, Reshma Rajan, Binny Rinky Benjamin, Vineeth Vishwam, Kichu Tellus, Sreekanth Dasan, Sarath Kumar, Tito Wilson, Anandhu, Bitto Davis, Sinoj Varghese",India,05/09/2021,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas","After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.",128,,,,
s108,Movie,A Champion Heart,David de Vos,"Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido",United States,04/09/2021,2018,G,90 min,"Children & Family Movies, Dramas","When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",90,,,,
s115,Movie,Anjaam,Rahul Rawail,"Madhuri Dixit, Shah Rukh Khan, Tinnu Anand, Johny Lever, Kalpana Iyer, Himani Shivpuri, Sudha Chandran, Beena, Kiran Kumar",India,02/09/2021,1994,TV-14,143 min,"Dramas, International Movies, Thrillers","A wealthy industrialistâ€™s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.",143,,,,
s116,Movie,Bright Star,Jane Campion,"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin",United Kingdom,02/09/2021,2009,PG,119 min,"Dramas, Romantic Movies",This drama details the passionate three-year romance between Romantic poet John Keats â€“ who died tragically at age 25 â€“ and his great love and muse.,119,,,,
s117,Movie,Dhanak,Nagesh Kukunoor,"Krrish Chhabria, Hetal Gada, Vipin Sharma, Gulfam Khan, Suresh Menon, Vijay Maurya, Rajiv Lakshman, Ninad Kamat",India,02/09/2021,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,114,,,,
s119,Movie,Gurgaon,Shanker Raman,"Akshay Oberoi, Pankaj Tripathi, Ragini Khanna, Aamir Bashir, Shalini Vatsa, Ashish Verma",India,02/09/2021,2017,TV-14,106 min,"Dramas, International Movies, Thrillers","When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems â€“ and plans â€“ of his own.",106,,,,
s123,Movie,In the Cut,Jane Campion,"Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh, Nick Damici, Sharrieff Pugh, Kevin Bacon, Yaani King Mondschein, Heather Litteer",United Kingdom,02/09/2021,2003,R,118 min,Thrillers,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.",118,,,,
s127,Movie,Shikara,Vidhu Vinod Chopra,"Aadil Khan, Sadia Khateeb, Zain Khan Durrani, Priyanshu Chatterjee, Bhavna Chauhan, Ashwin Dhar, Farid Azad Khan, Saghar Sehrai",India,02/09/2021,2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies",A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,115,,,,
s128,Movie,A Cinderella Story,Mark Rosman,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg",United States,01/09/2021,2004,PG,95 min,"Children & Family Movies, Comedies",Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,95,,,,
s130,Movie,An Unfinished Life,Lasse HallstrÃ¶m,"Robert Redford, Jennifer Lopez, Morgan Freeman, Josh Lucas, Damian Lewis, Camryn Manheim, Becca Gardner, Lynda Boyd, Rob Hayter, P. Lynn Johnson",Germany,01/09/2021,2005,PG-13,108 min,Dramas,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.",108,,,,
s132,Movie,Blade Runner: The Final Cut,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah, William Sanderson, Brion James, Joe Turkel, Joanna Cassidy, James Hong, Morgan Paull",United States,01/09/2021,1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies","In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""",117,,,,
s134,Movie,Chappie,Neill Blomkamp,"Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede",South Africa,01/09/2021,2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy","In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.",121,,,,
s135,Movie,Clear and Present Danger,Phillip Noyce,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Dean Jones, Thora Birch, James Earl Jones, Raymond Cruz",United States,01/09/2021,1994,PG-13,142 min,"Action & Adventure, Dramas","When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.",142,,,,
s136,Movie,Cliffhanger,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner, Rex Linn, Caroline Goodall, Leon, Craig Fairbrass, Ralph Waite, Max Perlich, Paul Winfield",United States,01/09/2021,1993,R,113 min,Action & Adventure,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",113,,,,
s137,Movie,Cold Mountain,Anthony Minghella,"Jude Law, Nicole Kidman, RenÃ©e Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone",United States,01/09/2021,2003,R,154 min,"Dramas, Romantic Movies","This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm.",154,,,,
s138,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,"Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Aida Turturro, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Paul Rodriguez, Mark Adair-Rios, Tiriel Mora, Grant Piro, Mike Tyson",Australia,01/09/2021,2001,PG,95 min,"Action & Adventure, Comedies","When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel.",95,,,,
s139,Movie,Dear John,Lasse HallstrÃ¶m,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith Robinson, Scott Porter",United States,01/09/2021,2010,PG-13,108 min,"Dramas, Romantic Movies","While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together.",108,,,,
s140,Movie,Do the Right Thing,Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Samuel L. Jackson, Rosie Perez, Martin Lawrence, Miguel Sandoval",United States,01/09/2021,1989,R,120 min,"Classic Movies, Comedies, Dramas","On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy.",120,,,,
s141,Movie,"El patrÃ³n, radiografÃ­a de un crimen",SebastiÃ¡n Schindel,"JoaquÃ­n Furriel, Luis Ziembrowski, Guillermo Pfening, MÃ³nica Lairana, GermÃ¡n de Silva, Victoria Raposo, Andrea Garrote",Argentina,01/09/2021,2014,TV-MA,100 min,"Dramas, International Movies, Thrillers",A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.,100,,,,
s142,Movie,Extraction,Steven C. Miller,"Bruce Willis, Kellan Lutz, Gina Carano, D.B. Sweeney, Joshua Mikel, Steve Coulter, Dan Bilzerian, Heather Johansen",United States,01/09/2021,2015,R,82 min,Action & Adventure,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",82,,,,
s143,Movie,Freedom Writers,Richard LaGravenese,"Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April L. Hernandez, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith",Germany,01/09/2021,2007,PG-13,124 min,Dramas,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives.",124,,,,
s144,Movie,Green Lantern,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett",United States,01/09/2021,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,114,,,,
s145,Movie,House Party,Reginald Hudlin,"Christopher Reid, Christopher Martin, Robin Harris, Tisha Campbell, A.J. Johnson, Martin Lawrence, Paul Anthony, Bowlegged Lou, B-Fine, Edith Fields, Kelly Jo Minter, Clifton Powell, Verda Bridges",United States,01/09/2021,1990,R,104 min,"Comedies, Cult Movies","Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another.",104,,,,
s146,Movie,House Party 2,"George Jackson, Doug McHenry","Christopher Reid, Christopher Martin, Martin Lawrence, Bowlegged Lou, Paul Anthony, B-Fine, Tisha Campbell, Kamron, Iman, Queen Latifah",United States,01/09/2021,1991,R,94 min,"Comedies, Cult Movies, Music & Musicals","Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash.",94,,,,
s147,Movie,House Party 3,Eric Meza,"Christopher Reid, Christopher Martin, Tisha Campbell, David Edwards, Angela Means, Ketty Lester, Bernie Mac, Michael Colyar, Chris Tucker, Khandi Alexander",United States,01/09/2021,1994,R,94 min,"Comedies, Music & Musicals","After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications.",94,,,,
s150,Movie,I Got the Hook Up,Michael Martin,"Master P, Anthony Johnson, Gretchen Palmer, Frantz Turner, Richard Keats, Joe Estevez, William Knight, Anthony Boswell, Tommy 'Tiny' Lister, Helen Martin, John Witherspoon, Mia X",United States,01/09/2021,1998,R,93 min,"Action & Adventure, Comedies","After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van.",93,,,,
s151,Movie,In Too Deep,Michael Rymer,"Omar Epps, LL Cool J, Nia Long, Stanley Tucci, Pam Grier, Hill Harper, Jake Weber, David Patrick Kelly, Veronica Webb, Ron Canada, Robert LaSardo, Gano Grills, Ivonne Coll, Don Harvey, Mya, Nasir 'Nas' Jones, Jermaine Dupri",United States,01/09/2021,1999,R,97 min,Thrillers,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder.",97,,,,
